export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-GBFo8hCNWjES4ktJvUSuNz.dat,asset,40027,present,1,file-GBFo8hCNWjES4ktJvUSuNz.dat,yes,no
file-GjwgVeDx5EXexwzo2wYpWx.dat,asset,237832,present,1,file-GjwgVeDx5EXexwzo2wYpWx.dat,yes,no
file-HQSBMmzwYkuDYgxJAwooED.dat,asset,222333,present,1,file-HQSBMmzwYkuDYgxJAwooED.dat,yes,no
file-HQTiHugAHhFjRHTgruFYLv.dat,asset,186839,present,1,file-HQTiHugAHhFjRHTgruFYLv.dat,yes,no
file-HY4jyLwTaW5NvoDQtBzki8.dat,asset,279658,present,1,file-HY4jyLwTaW5NvoDQtBzki8.dat,yes,no
file-HZsmokUBoti0L5M2t2meYk6w.dat,asset,762474,present,1,file-HZsmokUBoti0L5M2t2meYk6w.dat,yes,no
file-HcUwHfdDy1nnqf6LEwV5yp.dat,asset,209722,present,1,file-HcUwHfdDy1nnqf6LEwV5yp.dat,yes,no
file-Hom1qVqUYPEw3AubZsqcTy.dat,asset,279922,present,1,file-Hom1qVqUYPEw3AubZsqcTy.dat,yes,no
file-IVXRArtimbHR83sDnqdQiqe0.dat,asset,378696,present,1,file-IVXRArtimbHR83sDnqdQiqe0.dat,yes,no
file-J1mnZ1PGPeXKE9zcyswmNj.dat,asset,27518,present,1,file-J1mnZ1PGPeXKE9zcyswmNj.dat,yes,no
file-J41KBxHyd3NMgxRG1U8VT1.dat,asset,239712,present,1,file-J41KBxHyd3NMgxRG1U8VT1.dat,yes,no
file-J8VuM3CJIjED5CXoysz0NVrA.dat,asset,496762,present,1,file-J8VuM3CJIjED5CXoysz0NVrA.dat,yes,no
file-JMwe45ZCMa151aePRTajdW.dat,asset,1068213,present,1,file-JMwe45ZCMa151aePRTajdW.dat,yes,no
file-JPuAwCkPArKxVDr9zNMVrX.dat,asset,161910,present,1,file-JPuAwCkPArKxVDr9zNMVrX.dat,yes,no
file-JRmSdgZqg88rYPnVhheQva.dat,asset,969133,present,1,file-JRmSdgZqg88rYPnVhheQva.dat,yes,no
file-JY4YNyPcb5zSiUnRb2nfvZ.dat,asset,3776549,present,1,file-JY4YNyPcb5zSiUnRb2nfvZ.dat,yes,no
file-JYhfrzv2tQvhAQuXdQM6JA.dat,asset,3535284,present,1,file-JYhfrzv2tQvhAQuXdQM6JA.dat,yes,no
file-Jg15NHDJze5Tf2IPbw2vo0JU.dat,asset,562777,present,1,file-Jg15NHDJze5Tf2IPbw2vo0JU.dat,yes,no
file-Jg6fxYM9JKepqOpRuAlYTFsP.dat,asset,506994,present,1,file-Jg6fxYM9JKepqOpRuAlYTFsP.dat,yes,no
file-JvTneFrLsFjqqgkuEdtGsG9K.dat,asset,48463,present,1,file-JvTneFrLsFjqqgkuEdtGsG9K.dat,yes,no
file-K4wL8XnD6w6pUgs49zAZpk.dat,asset,397133,present,1,file-K4wL8XnD6w6pUgs49zAZpk.dat,yes,no
